net,length_um
_0761_,32.58µm
_0220_,32.53µm
_0727_,32.53µm
u_cas_diff.out_diff1\[16\],32.53µm
_0163_,32.12µm
_0532_,32.07µm
_0660_,32.02µm
_0198_,31.97µm
_0268_,31.97µm
_0667_,31.97µm
_0678_,31.97µm
_0240_,31.92µm
_0300_,31.92µm
_0017_,31.46µm
_0596_,31.46µm
_0971_,31.46µm
_0210_,31.41µm
_0231_,31.41µm
_0352_,31.41µm
_0387_,31.41µm
_0639_,31.41µm
_0828_,31.41µm
_1001_,31.41µm
u_cas_diff.out_diff2\[6\],31.41µm
_0284_,31.36µm
_0747_,31.36µm
_0291_,30.95µm
_0319_,30.9µm
_0494_,30.9µm
_0566_,30.9µm
_0854_,30.9µm
_0973_,30.9µm
u_cas_diff.out_diff2\[19\],30.85µm
_0228_,30.8µm
_0262_,30.8µm
_0295_,30.39µm
u_cas_diff.u_diff1.in_min1\[1\],30.39µm
u_cas_diff.out_diff1\[18\],30.34µm
u_cas_diff.u_diff1.in_min1\[8\],30.34µm
_0464_,30.29µm
_0473_,30.29µm
_0886_,30.29µm
_1028_,30.29µm
_0385_,29.83µm
_0714_,29.83µm
_0265_,29.78µm
_0592_,29.78µm
_0276_,29.73µm
_0433_,29.73µm
_0568_,29.73µm
_0177_,29.68µm
_0305_,29.68µm
u_cas_diff.out_diff1\[12\],29.27µm
_0011_,29.22µm
_0457_,29.22µm
_0670_,29.22µm
_0400_,29.17µm
_0203_,29.12µm
_0657_,29.12µm
_0347_,28.66µm
_0511_,28.61µm
u_cas_diff.out_diff1\[6\],28.61µm
u_cas_diff.out_diff2\[15\],28.61µm
_0911_,28.56µm
_0926_,28.33µm
_0162_,28.15µm
_0482_,28.15µm
u_cas_diff.u_diff1.in_min1\[0\],28.15µm
u_cas_diff.out_diff2\[24\],28.1µm
_0671_,28.05µm
_0870_,28.05µm
_0179_,28µm
_0824_,28µm
_0679_,27.54µm
_0805_,27.49µm
_0650_,26.98µm
u_cas_diff.u_diff2.in_min1\[0\],26.98µm
_0757_,26.93µm
_0938_,26.88µm
_0979_,26.88µm
_0437_,26.47µm
u_cas_diff.out_diff1\[19\],26.47µm
u_cas_diff.u_diff1.in_min1\[16\],26.47µm
u_cas_diff.u_diff2.in_min1\[16\],26.47µm
u_cas_diff.out_diff2\[23\],26.42µm
_0000_,26.37µm
_0175_,26.37µm
_0829_,26.37µm
_0964_,26.37µm
u_clock_div.counter\[2\],26.37µm
_0248_,26.32µm
_0456_,26.32µm
_0864_,26.32µm
_0299_,25.86µm
_0514_,25.86µm
_0943_,25.86µm
_0945_,25.86µm
_0049_,25.81µm
_0120_,25.81µm
_0252_,25.81µm
_0308_,25.81µm
_0787_,25.81µm
_0894_,25.81µm
_0255_,25.76µm
_0225_,25.3µm
_0848_,25.3µm
u_cas_diff.out_diff2\[14\],25.3µm
_0382_,25.25µm
u_cas_diff.out_diff2\[5\],25.25µm
u_cas_diff.u_diff2.in_min1\[2\],25.25µm
u_clock_div.counter\[6\],25.25µm
_0677_,25.02µm
_0038_,24.74µm
_0194_,24.74µm
_0438_,24.74µm
_0676_,24.74µm
_0882_,24.74µm
_0795_,24.69µm
_1032_,24.64µm
u_cas_diff.out_diff2\[18\],24.36µm
_0465_,24.18µm
u_cas_diff.u_diff3.in_min1\[7\],24.18µm
_0270_,24.13µm
_0574_,24.13µm
_0621_,24.13µm
_0777_,24.13µm
_0986_,24.13µm
_0341_,24.08µm
_0630_,24.08µm
_0662_,24.08µm
_0627_,23.67µm
u_clock_div.counter\[5\],23.67µm
_0327_,23.62µm
_0357_,23.62µm
_0583_,23.62µm
u_cas_diff.out_diff1\[13\],23.62µm
_0307_,23.57µm
_0350_,23.57µm
_0365_,23.57µm
_0423_,23.57µm
_0812_,23.57µm
_0445_,23.52µm
_0867_,23.52µm
_0924_,23.52µm
