net,length_um
_0992_,8.4µm
net8,8.4µm
_0336_,7.94µm
_0751_,7.94µm
_0838_,7.94µm
_0905_,7.94µm
_0111_,7.89µm
_0405_,7.89µm
_0741_,7.89µm
_0020_,7.84µm
_0023_,7.84µm
_0064_,7.84µm
_0070_,7.84µm
_0106_,7.84µm
_0628_,7.84µm
_0717_,7.84µm
_0783_,7.84µm
_0799_,7.84µm
_0808_,7.84µm
_0917_,7.84µm
_0972_,7.84µm
_0978_,7.84µm
u_cas_diff.u_diff1.in_min1\[9\],7.84µm
_0733_,7.38µm
_0037_,7.33µm
_0217_,7.33µm
_0430_,7.33µm
_0525_,7.33µm
_1010_,7.33µm
_0062_,7.28µm
_0193_,7.28µm
_0249_,7.28µm
_0338_,7.28µm
_0348_,7.28µm
_0376_,7.28µm
_0402_,7.28µm
_0490_,7.28µm
_0833_,7.28µm
_0896_,7.28µm
_0947_,7.28µm
_1007_,7.28µm
_0232_,6.87µm
_0503_,6.87µm
_0081_,6.82µm
_0095_,6.82µm
_0454_,6.82µm
_0755_,6.82µm
_0068_,6.77µm
_0090_,6.77µm
_0145_,6.77µm
_0185_,6.77µm
_0418_,6.77µm
_0467_,6.77µm
_0697_,6.77µm
_1026_,6.77µm
u_cas_diff.u_diff1.in_min1\[17\],6.77µm
_0125_,6.72µm
_0144_,6.72µm
_0422_,6.72µm
_0484_,6.72µm
_0641_,6.72µm
_0832_,6.72µm
_0876_,6.72µm
_0956_,6.72µm
_0968_,6.72µm
_1009_,6.72µm
_0281_,6.26µm
_0374_,6.26µm
_0066_,6.21µm
_0441_,6.21µm
_0851_,6.21µm
_0869_,6.21µm
_0885_,6.21µm
_0477_,6.16µm
_0658_,6.16µm
_0699_,6.16µm
_0873_,6.16µm
_0948_,6.16µm
u_cas_diff.u_diff3.in_min1\[9\],6.16µm
_0202_,5.75µm
_0242_,5.7µm
_0016_,5.65µm
_0104_,5.65µm
_0243_,5.65µm
_0666_,5.65µm
_0734_,5.65µm
_0778_,5.65µm
_0027_,5.6µm
_0065_,5.6µm
_0085_,5.6µm
_0101_,5.6µm
_0115_,5.6µm
_0273_,5.6µm
_0377_,5.6µm
_0580_,5.6µm
_1017_,5.6µm
_0013_,5.14µm
_0080_,5.14µm
_0548_,5.14µm
_0965_,5.14µm
_0545_,5.09µm
_0692_,5.09µm
_0007_,5.04µm
_0045_,5.04µm
_0048_,5.04µm
_0069_,5.04µm
_0074_,5.04µm
_0076_,5.04µm
_0113_,5.04µm
_0120_,5.04µm
_0124_,5.04µm
_0256_,5.04µm
_0819_,5.04µm
_0825_,5.04µm
_0934_,5.04µm
_0097_,4.58µm
_0126_,4.58µm
_0209_,4.58µm
_0412_,4.58µm
_0436_,4.58µm
_1033_,4.53µm
_0006_,4.48µm
_0012_,4.48µm
_0053_,4.48µm
_0088_,4.48µm
_0119_,4.48µm
_0135_,4.48µm
_0147_,4.48µm
_0227_,4.48µm
_0359_,4.48µm
_0446_,4.48µm
_0549_,4.48µm
_0649_,4.48µm
_0671_,4.48µm
_0686_,4.48µm
_0745_,4.48µm
_0815_,4.48µm
_0895_,4.48µm
_0915_,4.48µm
_0937_,4.48µm
_1027_,4.48µm
_0396_,4.07µm
_0014_,4.02µm
_0029_,4.02µm
_0030_,4.02µm
_0032_,4.02µm
_0034_,4.02µm
_0130_,4.02µm
_0311_,4.02µm
_0399_,4.02µm
_0967_,4.02µm
_0075_,3.92µm
_0084_,3.92µm
_0103_,3.92µm
_0148_,3.92µm
_0264_,3.92µm
_0269_,3.92µm
_0345_,3.92µm
_0365_,3.92µm
_0366_,3.92µm
_0424_,3.92µm
_0508_,3.92µm
_0722_,3.92µm
_0754_,3.92µm
_0756_,3.92µm
_0836_,3.92µm
_0856_,3.92µm
_0883_,3.92µm
u_cas_diff.u_diff1.in_min1\[15\],3.92µm
u_cas_diff.u_diff3.in_min1\[8\],3.92µm
_0278_,3.46µm
_0653_,3.46µm
_0681_,3.46µm
_0715_,3.46µm
_0005_,3.36µm
_0028_,3.36µm
_0046_,3.36µm
_0052_,3.36µm
_0063_,3.36µm
_0077_,3.36µm
_0087_,3.36µm
_0089_,3.36µm
_0092_,3.36µm
_0099_,3.36µm
_0100_,3.36µm
_0250_,3.36µm
_0302_,3.36µm
_0413_,3.36µm
_0475_,3.36µm
_0505_,3.36µm
_0721_,3.36µm
_0803_,3.36µm
_0893_,3.36µm
_0919_,3.36µm
_0974_,3.36µm
_0999_,3.36µm
_1024_,3.36µm
u_cas_diff.u_diff3.in_min1\[13\],3.36µm
_0203_,2.9µm
u_cas_diff.u_diff1.in_min1\[21\],2.9µm
_0389_,2.85µm
_0998_,2.85µm
_0003_,2.8µm
_0010_,2.8µm
_0015_,2.8µm
_0031_,2.8µm
_0033_,2.8µm
_0082_,2.8µm
_0091_,2.8µm
_0114_,2.8µm
_0272_,2.8µm
_0325_,2.8µm
_0332_,2.8µm
_0390_,2.8µm
_0406_,2.8µm
_0450_,2.8µm
_0493_,2.8µm
_0573_,2.8µm
_0711_,2.8µm
_0826_,2.8µm
_0921_,2.8µm
_0928_,2.8µm
u_cas_diff.u_diff2.in_min1\[8\],2.8µm
u_cas_diff.u_diff3.in_min1\[12\],2.8µm
_0743_,2.57µm
_0149_,2.34µm
_0407_,2.34µm
_0492_,2.34µm
_0575_,2.34µm
_0797_,2.34µm
_0814_,2.34µm
_0241_,2.24µm
_0251_,2.24µm
_0322_,2.24µm
_0427_,2.24µm
_0578_,2.24µm
_0598_,2.24µm
_0932_,2.24µm
_0941_,2.24µm
_0969_,2.24µm
_0986_,2.24µm
_0996_,2.24µm
_1012_,2.24µm
_0221_,1.68µm
_0261_,1.68µm
_0310_,1.68µm
_0421_,1.68µm
_0866_,1.68µm
_0901_,1.68µm
_0426_,1.12µm
_0461_,1.12µm
_0718_,1.12µm
_0830_,1.12µm
_1022_,1.12µm
_1023_,1.12µm
u_cas_diff.u_diff1.in_min1\[20\],1.12µm
